685_1_19,116.412443,39.894651
685_1_17,116.41168,39.90811
685_1_18,116.41207,39.90132
685_1_27,116.42439,39.86293
685_1_26,116.42123,39.86429
685_1_25,116.416341,39.864216
685_1_24,116.4149,39.87441
317_0_3,116.64802,39.89989
685_1_23,116.41468,39.87912
317_0_4,116.65279,39.89955
685_1_22,116.41398,39.88425
317_0_1,116.631413,39.903491
685_1_21,116.41274,39.88756
317_0_2,116.63851,39.9018
685_1_20,116.4125,39.89286
558_0_1,116.401952,39.950865
558_0_2,116.40168,39.96047
685_1_28,116.42577,39.85836
558_0_3,116.40133,39.96894
685_1_29,116.42716,39.857116
558_0_4,116.40124,39.98012
558_0_5,116.40149,39.99165
685_1_32,116.434671,39.844401
685_1_31,116.432749,39.846115
685_1_34,116.44064,39.83327
685_1_33,116.44065,39.84052
536_1_9,116.4483,39.96821
685_1_30,116.432567,39.855823
536_1_5,116.45216,39.95412
536_1_6,116.44283,39.96016
536_1_7,116.44286,39.96369
536_1_8,116.4456,39.96607
536_1_4,116.45594,39.94937
536_1_3,116.44865,39.9469
536_1_2,116.44533,39.94636
536_1_1,116.438638,39.949725
558_0_9,116.41073,40.01397
558_0_8,116.4107,40.00606
558_0_7,116.41158,39.99946
558_0_6,116.41116,39.99437
317_0_9,116.690649,39.891956
317_0_6,116.67129,39.89938
317_0_5,116.66461,39.89897
317_0_8,116.67996,39.90043
317_0_7,116.67418,39.89973
987_1_36,116.63623,40.20991
987_1_37,116.63585,40.18947
987_1_38,116.6357,40.18179
987_1_39,116.63056,40.16386
987_1_30,116.65563,40.3212
987_1_31,116.6458,40.30937
987_1_32,116.63631,40.28776
987_1_33,116.63147,40.26436
987_1_34,116.63487,40.24911
987_1_35,116.64226,40.23339
1106_0_21,116.32989,39.93706
1106_0_20,116.34221,39.93845
1106_0_27,116.31431,39.96795
1106_0_26,116.31681,39.9595
1106_0_29,116.31045,39.982144
1106_0_28,116.31101,39.97676
1106_0_23,116.31893,39.94358
51300_0_9,116.30414,39.92265
1106_0_22,116.32376,39.93742
1106_0_25,116.3179,39.95161
51300_0_7,116.30429,39.88899
1106_0_24,116.31836,39.94717
51300_0_8,116.30424,39.90126
987_1_47,116.44036,39.95144
987_1_48,116.4332,39.94274
66_1_4,116.37846,39.88727
66_1_3,116.38888,39.889778
1106_0_19,116.34982,39.93319
66_1_2,116.388593,39.893533
66_1_1,116.389686,39.89826
987_1_41,116.59311,40.14341
66_1_8,116.3806,39.86011
987_1_42,116.55673,40.10877
66_1_7,116.38148,39.87294
66_1_6,116.38133,39.8766
987_1_40,116.60789,40.15224
66_1_5,116.38127,39.88015
987_1_45,116.47135,39.97828
987_1_46,116.44924,39.95875
987_1_43,116.52682,40.03917
987_1_44,116.48398,39.98971
66_1_9,116.38064,39.85481
1106_0_10,116.30016,39.9227
1106_0_18,116.35,39.92926
418_0_21,116.54024,40.00763
1106_0_17,116.34806,39.92226
418_0_22,116.54684,40.0078
